track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s,class
212,Azealia Banks,0.847,0.769,11,-5.761,0,0.258,0.0145,0.00012,0.0767,0.626,126.017,204.957,1
Paradise,Coldplay,0.449,0.585,5,-6.762,1,0.0268,0.0522,8.49E-05,0.0833,0.203,139.627,278.719,1
I Won't Give Up,Jason Mraz,0.585,0.303,4,-10.058,1,0.0398,0.694,0,0.115,0.142,136.703,240.166,1
Good Feeling,Flo Rida,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248.133,1
Sweet Nothing (feat. Florence Welch),Calvin Harris,0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,127.934,212.56,1
"He Ain't Heavy, He's My Brother",The Justice Collective,0.186,0.544,7,-7.56,1,0.0318,0.123,4.03E-06,0.0775,0.223,152.9,273.247,1
How We Do (Party),Rita Ora,0.739,0.926,7,-3.927,1,0.0725,0.00298,0,0.108,0.718,116.03,247.213,1
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,0.658,0.677,5,-6.628,1,0.0393,0.248,0,0.368,0.248,124.91,251.627,1
Earthquake,Labrinth,0.545,0.884,0,-3.373,0,0.107,0.0758,1.23E-06,0.278,0.254,153.138,274.067,1
The Power of Love,Gabrielle Aplin,0.277,0.291,11,-9.851,0,0.0306,0.901,2.47E-05,0.103,0.175,75.119,245.16,1
I Cry,Flo Rida,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79E-06,0.315,0.763,126.035,223.8,1
Part Of Me,Katy Perry,0.678,0.918,5,-4.63,1,0.0355,0.000417,0,0.0744,0.769,130.028,216.16,1
We Found Love,Rihanna,0.734,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.986,215.227,1
Dance with Me Tonight,Olly Murs,0.666,0.75,11,-5.926,0,0.0598,0.314,0,0.0753,0.964,163.937,202.693,1
Moves Like Jagger - Radio Edit,Maroon 5,0.72,0.731,11,-5.53,0,0.0504,0.00962,0,0.291,0.624,128.014,200.627,1
Levels,Avicii,0.601,0.834,1,-6.573,0,0.0358,0.0295,0.888,0.34,0.352,125.991,338.867,1
Sing,Gary Barlow & The Commonwealth Band,0.497,0.51,3,-8.635,1,0.0282,0.00597,0,0.0957,0.213,162.041,240.68,1
"Read All About It, Pt. III",Emeli Sandé,0.63,0.44,2,-7.186,1,0.0249,0.822,3.87E-06,0.0926,0.343,98.082,283.707,1
Pound The Alarm,Nicki Minaj,0.728,0.858,9,-3.686,1,0.0609,0.0403,4.26E-06,0.0241,0.591,125.054,205.64,1
We'll Be Coming Back (feat. Example),Calvin Harris,0.596,0.952,7,-4.364,1,0.0873,0.00131,0,0.598,0.571,127.945,234.36,1
Alone Again - Original Mix,Alyssa Reid,0.413,0.802,1,-5.087,1,0.0463,0.0985,1.03E-05,0.105,0.514,85.957,227.949,1
Little Things,One Direction,0.707,0.222,7,-11.716,1,0.0329,0.788,0,0.205,0.556,110.095,219.64,1
Let's Go (feat. Ne-Yo),Calvin Harris,0.71,0.882,4,-2.932,0,0.0595,0.00777,0.00771,0.294,0.875,128.016,232.8,1
Take Care,Drake,0.629,0.515,0,-10.358,0,0.265,0.0267,1.22E-05,0.0888,0.299,121.845,277.387,1
Wide Awake,Katy Perry,0.514,0.683,5,-5.099,1,0.0367,0.0749,2.64E-06,0.392,0.575,159.814,220.947,1
Good Time,Owl City,0.56,0.872,3,-4.269,1,0.14,0.0239,7.52E-06,0.371,0.681,126.053,205.933,1
LaserLight,Jessie J,0.799,0.779,11,-3.708,1,0.0591,0.151,1.55E-05,0.109,0.843,127.501,210.173,1
Drunk,Ed Sheeran,0.733,0.652,7,-9.101,1,0.0696,0.419,2.37E-06,0.521,0.459,99.998,200.093,1
One More Night,Maroon 5,0.718,0.82,5,-3.453,0,0.0323,0.0444,0,0.0846,0.613,92.998,219.467,1
Bangarang (feat. Sirah),Skrillex,0.716,0.972,7,-2.302,1,0.196,0.0145,3.22E-05,0.317,0.576,110.026,215.253,1
Picking Up the Pieces,Paloma Faith,0.618,0.781,7,-4.781,1,0.0544,0.373,2.49E-06,0.322,0.242,135.971,244.773,1
Twilight,Cover Drive,0.58,0.73,7,-2.873,1,0.0319,0.00707,0.000719,0.293,0.408,90.005,207.952,1
Ho Hey,The Lumineers,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06E-06,0.0915,0.353,79.936,163.133,1
Some Nights,fun.,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75E-05,0.0927,0.392,107.938,277.04,1
Scream & Shout,will.i.am,0.772,0.685,5,-6.849,1,0.0696,0.019,8.96E-05,0.131,0.501,130.033,283.4,1
Turn Up the Music,Chris Brown,0.594,0.841,1,-5.792,1,0.102,0.000238,2.22E-06,0.156,0.643,129.925,227.973,1
International Love (feat. Chris Brown),Pitbull,0.669,0.855,0,-3.035,0,0.0499,0.0124,0,0.335,0.648,120.045,227.28,1
Dedication To My Ex (Miss That),Lloyd,0.835,0.724,0,-4.624,1,0.057,0.0169,5.48E-06,0.0936,0.964,119.037,236.147,1
Lego House,Ed Sheeran,0.592,0.637,11,-8.48,1,0.0992,0.562,0,0.13,0.565,159.701,185.093,1
Scream,Usher,0.616,0.862,7,-5.18,0,0.0973,0.00117,0,0.179,0.569,127.992,234.693,1
Greyhound,Swedish House Mafia,0.723,0.806,0,-4.989,1,0.0521,0.00666,0.876,0.276,0.539,124.976,410.097,1
What Makes You Beautiful,One Direction,0.726,0.787,4,-2.494,1,0.0737,0.009,0,0.0596,0.888,124.99,199.987,1
Express Yourself,Labrinth,0.631,0.778,9,-3.786,1,0.172,0.108,8.43E-05,0.0793,0.485,93.873,243.053,1
Video Games - Remastered,Lana Del Rey,0.236,0.249,6,-9.595,0,0.0348,0.811,1E-06,0.087,0.181,72.847,281.96,1
Blow Me (One Last Kiss),P!nk,0.597,0.919,7,-2.954,1,0.044,0.000145,0,0.282,0.73,113.987,255.587,1
Chasing The Sun,The Wanted,0.636,0.732,7,-6.209,0,0.0962,0.242,0,0.498,0.679,128.11,198.8,1
Boyfriend,Justin Bieber,0.717,0.55,10,-6.019,0,0.0521,0.0358,0.00196,0.126,0.332,96.976,171.333,1
She Wolf (Falling to Pieces) [feat. Sia],David Guetta,0.492,0.857,7,-2.634,1,0.0655,0.0841,7.82E-06,0.344,0.393,129.973,222.5,1
"Can You Hear Me? (Ayayaya) (feat. Skepta, Jme & Ms D)",Wiley,0.755,0.931,6,-3.376,0,0.0693,0.186,5.11E-05,0.104,0.742,129.978,232.615,1
Can't Say No,Conor Maynard,0.697,0.783,1,-3.943,1,0.289,0.217,0,0.0688,0.561,187.974,194.213,1
Need You Now,Lady Antebellum,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,277.573,1
Born To Die,Lana Del Rey,0.428,0.626,4,-6.639,0,0.0339,0.222,8.22E-05,0.277,0.379,86.02,285.4,1
Live While We're Young,One Direction,0.658,0.837,2,-2.063,1,0.0543,0.0629,0,0.0969,0.936,126.015,200.187,1
My Kind Of Love,Emeli Sandé,0.497,0.722,5,-2.165,0,0.0323,0.715,1.23E-06,0.183,0.414,86.782,202.693,1
Anything Could Happen,Ellie Goulding,0.702,0.781,0,-4.081,1,0.03,0.433,0,0.135,0.382,102.997,286.322,1
Turn Around (feat. Ne-Yo),Conor Maynard,0.594,0.865,1,-2.589,0,0.0263,0.0179,6.6E-06,0.128,0.595,125.03,232.387,1
T.H.E (The Hardest Ever),will.i.am,0.586,0.712,9,-4.823,1,0.0969,0.104,6.21E-06,0.0377,0.45,106.024,287.973,1
Blurred Lines,Robin Thicke,0.853,0.599,7,-4.756,1,0.0411,0.00334,7.93E-06,0.0759,0.843,119.993,263.827,1
Get Lucky (feat. Pharrell Williams & Nile Rodgers),Daft Punk,0.81,0.793,6,-9.404,0,0.0403,0.0378,1.82E-06,0.072,0.863,116.049,369.627,1
Wake Me Up,Avicii,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247.427,1
Let Her Go,Passenger,0.479,0.545,7,-7.346,1,0.0688,0.365,0,0.0963,0.244,74.897,252.733,1
La La La,Naughty Boy,0.772,0.65,6,-5.202,0,0.0306,0.107,1.13E-06,0.0905,0.262,125.082,222.2,1
Roar,Katy Perry,0.554,0.772,7,-4.821,0,0.0418,0.00487,6.6E-06,0.354,0.455,179.984,223.546,1
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992,235.613,1
Just Give Me a Reason (feat. Nate Ruess),P!nk,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,242.733,1
